N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
3,40,1.4,29.9,1,6.78,0.468713795,0.176923723,112.8577088
3,40,1.4,29.9,1.2,6.78,0.456613878,0.174901361,111.2155415
3,40,1.6,29.9,0.4,6.78,0.471258958,0.219542351,91.44308533
3,40,1.6,29.9,0.6,6.78,0.47553672,0.189110122,107.1220426
3,40,1.6,29.9,0.8,6.78,0.456563356,0.177047769,109.8550826
3,40,1.6,29.9,1,6.78,0.442865869,0.165471625,114.0140157
3,40,1.6,29.9,1.2,6.78,0.426730732,0.156035404,116.5038646
3,40,1.8,29.9,0.4,6.78,0.460588063,0.186129146,105.4163212
3,40,1.8,29.9,0.6,6.78,0.444362595,0.173741023,108.9543769
3,40,1.8,29.9,0.8,6.78,0.434612166,0.157333622,117.6765429
3,40,1.8,29.9,1,6.78,0.42012606,0.147482646,121.3523702
3,40,1.8,29.9,1.2,6.78,0.402210662,0.145233423,117.9767882
3,40,0.8,49.9,0.4,6.78,0.614746264,0.300165526,87.24582383
3,40,0.8,49.9,0.6,6.78,0.599642156,0.250266012,102.0704069
3,40,0.8,49.9,0.8,6.78,0.566731791,0.256999735,93.94084487
3,40,0.8,49.9,1,6.78,0.544983491,0.242336779,95.80177985
3,40,0.8,49.9,1.2,6.78,0.521001089,0.236447216,93.86722729
3,40,1,49.9,0.4,6.78,0.583143942,0.235984335,105.2694017
3,40,1,49.9,0.6,6.78,0.554016486,0.23207406,101.6964165
3,40,1,49.9,0.8,6.78,0.532826698,0.218582134,103.8438731
